aX,aY,aZ,gX,gY,gZ
0.084,1.413,-0.410,3.906,43.335,50.171
0.063,1.355,-0.378,4.700,49.805,53.040
0.001,1.289,-0.373,6.653,49.744,55.115
-0.048,1.247,-0.408,5.127,38.940,55.237
-0.161,1.293,-0.395,1.099,30.090,52.734
-0.275,1.389,-0.425,1.404,24.841,56.702
-0.375,1.333,-0.465,-1.831,15.137,60.242
-0.496,1.406,-0.547,-3.723,1.160,70.984
-0.656,1.420,-0.555,-4.578,-3.906,82.581
-0.841,1.437,-0.515,-2.930,-2.319,94.177
-0.800,1.472,-0.493,1.282,-2.319,105.835
-0.557,1.423,-0.515,2.563,-1.709,111.389
-0.492,1.365,-0.508,0.977,7.019,107.544
-0.561,1.279,-0.492,0.488,22.461,103.271
-0.529,1.206,-0.463,0.671,36.072,99.243
-0.441,1.144,-0.425,-0.549,43.030,93.872
-0.389,1.077,-0.372,-2.441,43.884,88.806
-0.391,1.040,-0.336,-4.089,39.490,83.557
-0.434,1.030,-0.305,-4.517,33.020,78.979
-0.389,0.958,-0.292,-6.897,25.818,75.745
-0.302,0.938,-0.284,-9.583,13.855,69.885
-0.311,0.910,-0.272,-12.390,3.052,62.866
-0.319,0.864,-0.320,-15.381,-3.784,57.312
-0.277,0.855,-0.356,-17.029,-6.592,49.377
-0.211,0.779,-0.322,-20.081,-7.141,41.077
-0.177,0.724,-0.263,-22.949,-7.751,32.898
-0.220,0.704,-0.231,-27.466,-5.737,21.729
-0.346,0.781,-0.231,-30.823,3.906,10.376
-0.242,0.771,-0.178,-29.724,16.968,0.183
-0.048,0.735,-0.099,-30.762,21.729,-11.414
-0.002,0.702,-0.010,-30.762,19.592,-22.888
-0.001,0.697,0.068,-31.311,16.357,-34.729
0.063,0.687,0.109,-29.907,7.996,-45.166
0.205,0.621,0.142,-27.649,-5.859,-55.298
0.276,0.559,0.185,-26.306,-20.813,-68.970
0.253,0.536,0.222,-26.550,-35.461,-82.214
0.232,0.532,0.230,-26.428,-50.354,-91.797
0.260,0.514,0.228,-25.818,-67.017,-98.267
0.301,0.442,0.187,-24.414,-86.060,-103.271
0.294,0.403,0.105,-23.560,-105.469,-109.497
0.192,0.367,-0.076,-24.170,-119.934,-117.065
-0.110,0.363,-0.208,-23.682,-117.004,-125.488
-0.413,0.331,-0.307,-19.409,-93.323,-135.681
-0.530,0.303,-0.225,-18.311,-62.500,-146.118
-0.522,0.370,-0.041,-15.137,-34.058,-155.151
-0.484,0.418,0.206,-7.690,-15.991,-158.264
-0.470,0.403,0.368,-2.197,-11.597,-156.250
-0.469,0.380,0.421,0.000,-26.917,-148.804
-0.542,0.351,0.390,-0.671,-49.377,-138.306
-0.696,0.304,0.291,-2.075,-72.876,-126.282
-0.886,0.255,0.128,-1.953,-90.454,-114.624
-1.109,0.205,-0.011,-2.136,-102.112,-102.295
-1.396,0.190,-0.112,-1.038,-103.455,-88.135
-1.612,0.174,-0.150,2.075,-98.572,-73.853
-1.713,0.157,-0.191,3.906,-90.515,-58.105
-1.705,0.138,-0.191,3.357,-83.557,-38.879
