aX,aY,aZ,gX,gY,gZ
-0.173,0.907,-0.554,108.032,-9.583,-233.826
-0.159,0.873,-0.589,115.723,2.625,-259.155
0.058,0.881,-0.538,118.774,8.728,-282.715
0.081,0.974,-0.506,121.521,5.798,-303.345

-0.786,1.971,-0.440,137.756,9.949,-378.479
-0.688,1.760,-0.479,116.943,-37.659,-379.211
-0.867,1.927,-0.514,82.458,-81.238,-386.658
-1.172,2.311,-0.666,62.256,-113.708,-380.066
-1.741,2.758,-0.908,43.823,-124.451,-360.291
-2.426,3.109,-1.043,27.954,-117.188,-316.284
-2.794,3.082,-1.170,25.940,-108.337,-248.230
-2.820,2.477,-1.388,27.039,-108.398,-170.776
-2.808,1.593,-1.695,14.038,-110.596,-103.882
-2.677,1.060,-1.759,-11.353,-108.643,-52.673
-2.603,1.011,-1.659,-31.921,-105.225,-11.169
-2.781,0.994,-1.463,-49.927,-99.609,31.067
-2.953,1.033,-1.303,-62.927,-98.083,69.336
-2.693,1.083,-1.221,-69.092,-99.365,110.046
-1.948,0.842,-1.761,-89.050,-114.868,140.137
-1.081,0.887,-2.948,-137.146,-118.225,149.414
2.654,1.693,-0.096,-154.846,16.357,108.948
0.365,3.548,0.666,-164.734,109.924,163.513
-3.228,3.712,-0.452,-162.781,50.293,279.663
0.805,2.841,-0.814,-146.057,19.470,290.894
-0.077,1.015,-1.510,-137.878,46.082,279.724
-0.815,1.120,-0.782,-120.728,53.345,275.757
-0.887,0.084,-0.463,-96.497,47.363,263.733
-1.469,-0.282,-0.836,-103.821,47.546,210.205
-0.417,0.703,-0.752,-101.685,14.343,156.189
0.528,1.259,-0.305,-98.389,-20.874,120.605
0.244,1.842,-0.666,-103.455,-41.809,85.815
-0.492,2.218,-0.531,-86.975,-59.814,92.407
-0.539,2.081,-0.302,-46.509,-109.863,134.949
-0.999,1.307,-0.455,-52.246,-168.945,193.787
0.254,1.012,-0.214,-88.440,-227.478,258.179
0.308,0.658,-0.718,-111.755,-296.021,250.183
