aX,aY,aZ,gX,gY,gZ
-0.465,1.073,-0.321,1.526,31.128,13.367
0.865,0.796,-0.240,9.277,38.086,-3.296
-0.586,0.708,-0.510,-9.460,24.658,21.667
0.567,1.152,-0.082,8.118,36.621,9.216
-0.583,0.666,-0.643,-8.789,17.395,28.259
0.723,1.044,-0.028,7.141,29.724,13.245
-0.187,0.764,-0.626,-6.531,19.348,27.100
0.223,0.839,-0.269,1.953,28.076,20.874
0.115,0.910,-0.475,-3.174,24.536,25.696
0.085,0.916,-0.417,-1.526,28.259,25.085
-0.049,0.963,-0.490,-0.488,29.236,28.748
0.360,0.957,-0.293,1.770,34.424,25.574
-0.470,0.916,-0.587,-2.991,30.884,39.124
0.289,0.919,-0.217,4.944,37.292,35.645
0.107,0.839,-0.428,-1.648,30.396,50.415
0.211,0.876,-0.352,1.709,29.480,54.382
0.192,0.840,-0.444,-2.380,25.574,64.270
0.486,1.102,-0.382,1.709,25.574,64.697
-0.083,0.930,-0.590,-3.967,23.621,74.036
0.385,1.231,-0.302,4.944,30.884,70.557
-0.504,0.994,-0.592,-1.526,29.663,85.510
0.282,1.266,-0.120,15.930,42.603,75.378
-0.111,0.618,-0.729,-1.160,37.842,89.844
-0.014,1.782,-0.016,17.273,41.504,90.088
-0.363,0.813,-0.848,2.319,40.222,103.027
0.397,1.423,0.036,18.555,42.603,101.074
0.219,1.182,-0.515,6.653,35.889,114.563
-0.048,1.333,-0.172,10.864,34.607,115.479
0.281,1.370,-0.432,9.888,29.114,125.305
0.053,1.393,-0.269,11.597,26.550,128.418
-0.061,1.425,-0.611,13.000,27.771,135.681
0.364,1.318,-0.402,14.038,35.339,137.390
-0.487,1.622,-0.747,12.817,37.964,151.550
0.196,1.399,-0.463,18.372,56.580,152.344
0.209,1.639,-0.600,21.484,64.575,161.682
0.314,1.656,-0.487,23.376,83.679,166.382
0.217,1.778,-0.648,25.940,93.933,170.410
0.906,1.885,-0.519,28.992,107.483,169.678
0.875,2.160,-0.768,32.715,106.384,186.279
1.353,2.036,-0.785,40.039,110.962,197.205
0.754,1.967,-0.847,32.593,110.535,210.754
0.945,1.806,-0.648,20.996,112.366,209.229
0.432,1.845,-0.737,3.967,100.220,213.318
0.084,2.110,-0.574,13.550,96.619,210.327
-0.021,1.786,-0.886,8.484,86.060,200.806
-0.030,1.810,-0.978,20.386,80.688,195.312
0.688,1.456,-0.795,25.269,81.543,178.162
1.126,1.100,-0.869,22.217,65.430,159.119
1.059,0.813,-0.567,16.663,48.645,136.902
0.501,0.614,-0.286,9.583,47.363,113.953
-0.679,0.398,-0.211,-0.183,49.805,103.333
-0.590,0.332,-0.435,-0.732,39.612,81.848
0.228,0.353,-0.232,5.859,16.785,47.485
0.491,0.309,-0.201,9.338,-8.118,20.081
0.522,0.498,0.006,3.967,-23.743,3.784
-0.282,0.534,-0.390,-10.315,-19.409,2.747
0.222,0.451,-0.190,-2.747,-19.348,-19.226
0.512,0.120,-0.042,4.395,-19.104,-49.316
0.556,-0.093,-0.025,4.456,-15.930,-75.745
0.504,-0.093,-0.051,-0.183,-15.808,-97.900
0.414,-0.010,-0.108,-3.906,-19.409,-113.159
0.364,0.111,-0.137,-5.981,-26.978,-126.038
0.285,0.185,-0.185,-6.348,-34.668,-140.320
0.204,0.269,-0.217,-5.371,-42.175,-157.959
0.123,0.332,-0.243,-4.944,-47.974,-174.927
0.106,0.396,-0.265,-5.371,-53.589,-189.514
0.093,0.472,-0.264,-5.798,-59.631,-202.393
0.086,0.534,-0.262,-5.615,-63.232,-213.806
0.099,0.567,-0.261,-5.920,-65.979,-224.976
0.117,0.603,-0.259,-6.042,-66.650,-235.962
0.144,0.636,-0.254,-6.714,-67.017,-246.216
0.218,0.674,-0.267,-8.606,-69.946,-255.798
0.253,0.741,-0.280,-11.353,-74.463,-265.625
0.244,0.791,-0.301,-16.174,-78.186,-277.100
0.217,0.936,-0.322,-19.714,-74.768,-286.621
0.157,0.927,-0.359,-26.001,-63.843,-302.307
0.226,1.017,-0.339,-28.809,-57.800,-315.308
0.343,1.152,-0.353,-30.029,-57.495,-317.810
0.316,1.360,-0.343,-30.090,-56.396,-320.129
0.297,1.471,-0.352,-31.738,-53.223,-325.562
0.247,1.614,-0.378,-33.142,-48.584,-329.529
0.174,1.763,-0.454,-34.119,-44.067,-332.214
0.142,1.961,-0.548,-37.292,-47.607,-334.106
0.036,2.152,-0.588,-36.560,-55.725,-331.421
-0.139,2.280,-0.598,-35.645,-63.232,-328.003
-0.454,2.435,-0.505,-34.546,-61.218,-320.801
-0.726,2.522,-0.396,-35.706,-60.852,-312.561
-0.948,2.537,-0.411,-35.400,-62.683,-302.429
-1.093,2.359,-0.628,-37.354,-64.758,-282.043
-1.038,2.193,-0.562,-44.861,-71.533,-255.005
-1.057,2.145,-0.592,-46.021,-81.299,-222.046
-1.171,1.937,-0.688,-44.250,-91.614,-184.937
-1.321,1.741,-0.635,-42.542,-95.215,-150.696
-1.647,1.689,-0.548,-38.208,-87.219,-114.380
-1.918,1.568,-0.430,-27.161,-60.974,-70.313
-1.813,1.293,-0.237,-18.677,-34.363,-20.447
-1.329,1.160,-0.272,-13.733,-22.400,31.433
-1.031,1.239,-0.413,-12.207,-25.208,72.449

0.642,0.537,-0.201,10.803,-14.343,41.016
0.246,0.599,-0.047,0.610,-29.907,26.245
-0.214,0.697,-0.544,-11.719,-30.090,21.545
0.348,0.628,-0.231,-0.061,-25.024,-11.963
0.614,0.237,-0.146,8.362,-18.860,-47.791
0.685,0.007,-0.087,10.315,-12.573,-76.965
0.557,-0.028,-0.104,7.690,-7.385,-100.830
