aX,aY,aZ,gX,gY,gZ
-2.154,1.311,-0.692,-33.203,-58.838,-88.562
-2.010,2.216,-0.686,13.184,-50.781,-83.008
-2.375,1.036,-0.207,-31.799,-25.574,-90.759
-2.435,1.514,-0.262,-42.725,-3.906,-81.787
-2.461,1.434,-0.192,7.751,5.676,-55.176
-2.461,1.083,-0.144,39.490,5.493,-26.794
-2.494,0.753,-0.169,43.152,6.042,-0.916
-2.468,0.443,-0.218,16.479,10.376,16.724
-2.410,0.380,-0.262,-7.263,13.977,32.288
-2.264,0.275,-0.263,-29.236,14.709,49.316
-2.225,0.358,-0.400,-40.527,8.606,73.364
-2.373,1.112,-0.343,-24.475,18.921,90.149
-2.199,1.429,0.027,14.954,32.776,95.886
-2.253,3.990,-0.762,38.086,37.292,40.527
