aX,aY,aZ,gX,gY,gZ
-0.275,1.496,-0.561,-29.053,-7.141,-142.883
-0.285,1.413,-0.589,-50.232,-19.470,-140.991
-0.317,1.445,-0.568,-83.008,-29.968,-148.193
-0.321,1.557,-0.470,-108.215,-40.039,-157.959
-0.395,1.718,-0.321,-118.347,-45.044,-164.368
-0.463,1.681,-0.154,-128.113,-46.265,-171.631
-0.567,1.843,-0.017,-125.122,-45.532,-172.302
-0.638,1.828,0.119,-120.728,-46.326,-171.204
-0.756,1.933,0.183,-106.934,-45.898,-168.030
-0.879,1.961,0.198,-86.853,-46.265,-163.757
-0.953,1.954,0.212,-61.279,-49.072,-157.104
-1.089,1.753,0.173,-34.180,-49.927,-146.790
-1.278,1.455,0.114,-17.578,-50.049,-133.789
-1.437,1.158,0.088,-13.306,-49.866,-117.371
-1.611,0.859,0.066,-17.151,-45.105,-97.473
-1.682,0.581,0.100,-33.142,-43.640,-75.806
-1.758,0.463,0.098,-49.194,-39.856,-50.964
-1.692,0.443,0.170,-63.965,-25.635,-29.602
-1.630,0.619,0.188,-69.885,-14.526,-9.644
-1.532,0.871,0.189,-66.040,-7.141,10.986
-1.474,1.330,0.225,-51.147,-5.859,44.067
-1.395,1.562,0.217,-8.240,-11.902,81.543
-1.220,1.553,0.243,36.865,-27.771,112.610
-1.305,1.261,-0.023,51.819,-23.132,144.958
0.386,1.516,-0.128,31.372,-10.315,184.143
0.291,0.681,-0.345,42.725,-7.507,162.048
0.471,1.262,-0.312,35.645,-3.601,130.920
0.556,1.108,-0.270,73.547,2.441,125.854
0.470,0.903,-0.158,102.112,11.475,121.155
0.135,1.016,-0.102,131.653,8.911,131.592
-0.083,0.942,-0.110,135.864,6.470,142.578
-0.017,0.932,-0.143,94.421,3.540,143.250
0.211,1.233,-0.152,54.932,0.000,132.996
-0.087,1.786,-0.108,58.838,5.920,122.314
0.226,1.298,-0.040,52.307,11.719,121.277
-0.106,1.165,-0.046,46.509,13.611,129.150

-0.170,0.769,-0.120,-14.709,9.338,11.963
0.238,0.991,-0.222,-18.555,8.789,8.301
0.055,1.038,-0.261,-8.911,7.080,5.798
-0.151,0.981,-0.146,-8.057,12.146,7.141
0.047,0.966,-0.099,-11.108,8.484,3.906
0.420,0.942,-0.278,-10.681,2.686,0.610
-0.237,1.066,-0.163,-3.479,7.019,8.301
-0.161,0.944,-0.126,-6.287,2.808,6.104
0.428,0.938,-0.299,-10.437,0.366,-0.793
-0.326,0.975,-0.079,-8.240,6.470,8.301
0.056,0.964,-0.244,-10.193,1.831,1.282
0.188,0.946,-0.267,-4.639,1.892,2.197
-0.001,0.953,-0.165,-0.610,4.028,6.042
-0.179,0.964,-0.171,-7.874,3.967,2.625
0.163,0.878,-0.281,-11.780,3.784,1.587
0.181,0.972,-0.191,-9.094,3.845,2.319
-0.087,0.975,-0.177,-8.972,4.761,2.258
0.062,0.846,-0.234,-10.376,3.479,3.113
0.173,0.945,-0.248,-10.315,3.052,3.479
-0.345,1.028,-0.125,-5.920,2.136,6.958
0.359,0.809,-0.302,-13.245,-0.793,2.625
-0.032,1.042,-0.175,-9.155,1.648,4.944
-0.258,0.966,-0.154,-8.606,1.648,4.761
0.110,0.850,-0.220,-12.146,-0.305,3.357
-0.117,1.051,-0.201,-11.047,1.038,4.028
0.046,0.937,-0.240,-11.292,0.366,3.906
-0.218,1.001,-0.210,-8.362,0.793,4.822
0.094,0.891,-0.232,-12.695,1.099,2.808
-0.050,1.027,-0.211,-10.132,1.770,3.662
-0.056,0.904,-0.216,-10.864,1.953,4.150
0.075,0.931,-0.248,-12.756,2.319,3.601
0.050,0.986,-0.285,-13.916,3.174,3.113
-0.079,0.921,-0.232,-8.362,3.967,5.005
0.089,1.023,-0.269,-4.944,2.625,4.272
0.032,0.911,-0.233,-2.563,3.235,5.371
-0.092,0.904,-0.192,-7.019,2.136,4.883
-0.182,1.006,-0.199,-7.690,-1.526,4.517
0.167,0.915,-0.339,-7.812,0.183,2.808
-0.018,0.995,-0.266,0.061,2.502,5.737
-0.468,0.997,-0.143,5.432,3.479,7.507
0.356,0.796,-0.338,-10.620,0.366,0.610
-0.211,1.140,-0.172,0.916,3.784,5.798
-0.216,0.913,-0.194,4.089,2.869,5.798
0.168,0.907,-0.358,-3.296,2.258,2.686
-0.182,0.985,-0.179,3.601,7.080,5.249
